1
 *****************************************************************************************************************************
 *****************************************************************************************************************************
 **************************************************                         **************************************************
 **************************************************          GOSIA          **************************************************
 **************************************************                         **************************************************
 *****************************************************************************************************************************
 *****************************************************************************************************************************





                    ROCHESTER COULOMB EXCITATION DATA ANALYSIS CODE BY T.CZOSNYKA,D.CLINE AND C.Y.WU
                                                  VERSION: 20081208.18






               Coulomb excitation of 148Sm on a 208Pb target                              
          ----------------------------------------------------------------------------------------------------

                                        LEVELS

     INDEX     PARITY         SPIN           ENERGY(MEV)
      4      3    6.0    4.0           9.435783414435549687482307490427047014236450195312500000000000        0.20503E-01
      4     12    6.0    5.0           2.778420287979103786568657596944831311702728271484375000000000        0.60374E-02
      4     19    6.0    4.0           0.000024376455364901590089051278131826450135122286155819892883        0.52969E-07
      4     20    6.0    4.0           0.000000000026743933964159917420220073934104083532292683855758        0.58113E-13
      4     10    6.0    3.0           0.000106154083028038166941313391600232307609985582530498504639        0.23067E-06
     23      2    3.0    2.0           0.047675390964044064845417381093284348025918006896972656250000        0.10360E-03
     23      3    3.0    4.0           0.007232840016970189071787711299066359060816466808319091796875        0.15717E-04
     23     10    3.0    3.0           0.002504502543897027706798485979788893018849194049835205078125        0.54421E-05
     23     17    3.0    2.0           0.003439001910938141882284613259912475768942385911941528320312        0.74728E-05
     20      2    4.0    2.0           2.247346428131098861058490001596510410308837890625000000000000        0.48834E-02
     20      3    4.0    4.0           2.020684455169710957989082089625298976898193359375000000000000        0.43908E-02
     20     12    4.0    5.0           0.065863218804825138241731963262282079085707664489746093750000        0.14312E-03
     19      2    4.0    2.0           2.717665669739125711146243702387437224388122558593750000000000        0.59053E-02
     19      3    4.0    4.0          21.241612179270745741632708813995122909545898437500000000000000        0.46157E-01
     19     10    4.0    3.0          16.125899717238247887962643289938569068908691406250000000000000        0.35041E-01
     19     17    4.0    2.0           0.138128866254480731079468114330666139721870422363281250000000        0.30015E-03
     18      1    2.0    0.0           2.494381911175568511396249959943816065788269042968750000000000        0.54202E-02
     18      2    2.0    2.0           4.843998787642949999110442149685695767402648925781250000000000        0.10526E-01
     12      2    5.0    2.0           0.002202625821345928925493184991069028910715132951736450195312        0.47862E-05
     12      3    5.0    4.0          13.429114524762438165339517581742256879806518554687500000000000        0.29181E-01
     12     10    5.0    3.0           1.434516424429872705204047633742447942495346069335937500000000        0.31171E-02
     11      1    1.0    0.0           0.543761752401802134215813566697761416435241699218750000000000        0.11816E-02
     11      2    1.0    2.0           0.264787648555543930761757565051084384322166442871093750000000        0.57537E-03
     11      3    1.0    4.0           0.000000000815908424824062656746493331491251743692316722444957        0.17729E-11
     11     10    1.0    3.0           0.000601519370882717236380388126093521350412629544734954833984        0.13071E-05
     17      1    2.0    0.0          12.559799220926253227048619010020047426223754882812500000000000        0.27292E-01
     17      2    2.0    2.0          12.617043279786150478116724116262048482894897460937500000000000        0.27416E-01
     17      3    2.0    4.0           0.000391802893513001177731164270667818527726922184228897094727        0.85137E-06
     17     16    2.0    0.0           0.000000005833938372017573125485664768154203674299651538603939        0.12677E-10
     16      2    0.0    2.0           1.382333842728578288117091688036452978849411010742187500000000        0.30037E-02
      3      2    4.0    2.0         154.546264574698113847261993214488029479980468750000000000000000        0.33582E+00
      3     10    4.0    3.0           0.021248833914239092374165451815315464045852422714233398437500        0.46173E-04
     10      1    3.0    0.0           0.001596362310359543661836267958165080926846712827682495117188        0.34688E-05
     10      2    3.0    2.0          21.210944987977498499276407528668642044067382812500000000000000        0.46090E-01
      2      1    2.0    0.0         460.204772659534853573859436437487602233886718750000000000000000        0.10000E+01


                                                  CALCULATED YIELDS

     EXPERIMENT  5  DETECTOR  1
     ENERGY    650.100 MEV  THETA  61.000 DEG

     NI     NF     II     IF     YIELD     NORMALIZED YIELD

      9      8   16.0   14.0           0.000041965768024032523340026423763760021756752394139766693115        0.13375E-06
      8      7   14.0   12.0           0.000965417395505345260660334805180582407047040760517120361328        0.30768E-05
      8     15   14.0   11.0           0.000000373528664554077875291062055609914160925200121710076928        0.11904E-08
      7      6   12.0   10.0           0.003873438425884893638456718534257561259437352418899536132812        0.12345E-04
      7     15   12.0   11.0           0.004813778779303009604240148888720796094276010990142822265625        0.15342E-04
      7     14   12.0    9.0           0.000002606965937549730506100388593981875828831107355654239655        0.83085E-08
     15      5   11.0    8.0           0.000001652040223655279646859249560730820149956343811936676502        0.52651E-08
     15      6   11.0   10.0           0.003450023345313764540354117826836954918690025806427001953125        0.10995E-04
     15     14   11.0    9.0           0.062322515283718946110802505700121400877833366394042968750000        0.19862E-03
      6      5   10.0    8.0           0.014450041446291255961553723352608358254656195640563964843750        0.46053E-04
      6     14   10.0    9.0           0.037614043990580880993945811496814712882041931152343750000000        0.11988E-03
      6     13   10.0    7.0           0.000009766556071119551296708799492662933516839984804391860962        0.31126E-07
     14      4    9.0    6.0           0.000052589185449221592747598430506172917375806719064712524414        0.16760E-06
     14      5    9.0    8.0           0.008632671065890351949634329287164291599765419960021972656250        0.27512E-04
     14     13    9.0    7.0           0.834333729459228345959331818448845297098159790039062500000000        0.26590E-02
      5      4    8.0    6.0           0.240021161295993962214723183024034369736909866333007812500000        0.76495E-03
      5     13    8.0    7.0           0.266088922519660375787253769885865040123462677001953125000000        0.84803E-03
      5     12    8.0    5.0           0.000028535061181626829237027373475932279234257293865084648132        0.90942E-07
     13      3    7.0    4.0           0.000947776769633904025459669728803646648884750902652740478516        0.30206E-05
     13      4    7.0    6.0           1.600528177060243306684128583583515137434005737304687500000000        0.51009E-02
     13     12    7.0    5.0           3.273840114023951031185788451693952083587646484375000000000000        0.10434E-01
     22      1    2.0    0.0           0.098410833301686817531361839428427629172801971435546875000000        0.31364E-03
     22      2    2.0    2.0           0.961387980240296147194101195054827257990837097167968750000000        0.30640E-02
     22     10    2.0    3.0           0.112657194478768679646307759867340791970491409301757812500000        0.35904E-03
     22     18    2.0    2.0           0.088631134921736423604166077439003856852650642395019531250000        0.28247E-03
     21      2    0.0    2.0           0.469527789381912530330964727909304201602935791015625000000000        0.14964E-02
     21     17    0.0    2.0           0.000009564296447359558269070423097701905135181732475757598877        0.30482E-07
      4      3    6.0    4.0           8.853182447199715809915687714237719774246215820312500000000000        0.28215E-01
      4     12    6.0    5.0           2.606870107557638593931415016413666307926177978515625000000000        0.83081E-02
      4     19    6.0    4.0           0.000022871360785086845905352340158067647735151695087552070618        0.72891E-07
      4     20    6.0    4.0           0.000000000025092662298537137092544254883808550488782929122067        0.79971E-13
      4     10    6.0    3.0           0.000099599728319816274051991256133220531410188414156436920166        0.31743E-06
     23      2    3.0    2.0           0.033265870416358020444924648018059087917208671569824218750000        0.10602E-03
     23      3    3.0    4.0           0.005046769704064733158555000613887386862188577651977539062500        0.16084E-04
     23     10    3.0    3.0           0.001747535896361118940359191675781858066329732537269592285156        0.55694E-05
     23     17    3.0    2.0           0.002399590011063680843744760906588453508447855710983276367188        0.76475E-05
     20      2    4.0    2.0           1.850579777883083032463673589518293738365173339843750000000000        0.58978E-02
     20      3    4.0    4.0           1.663934738058827633722103200852870941162109375000000000000000        0.53030E-02
     20     12    4.0    5.0           0.054235136737622730018770766946545336395502090454101562500000        0.17285E-03
     19      2    4.0    2.0           3.082170426536455121180324567831121385097503662109375000000000        0.98229E-02
     19      3    4.0    4.0          24.090626599109782546292990446090698242187500000000000000000000        0.76777E-01
     19     10    4.0    3.0          18.288773252427102278261372703127562999725341796875000000000000        0.58287E-01
     19     17    4.0    2.0           0.156655291105560146025510448453132994472980499267578125000000        0.49926E-03
     18      1    2.0    0.0           2.115658650579228972077316939248703420162200927734375000000000        0.67426E-02
     18      2    2.0    2.0           4.108532014507049190399357030401006340980529785156250000000000        0.13094E-01
     12      2    5.0    2.0           0.001983941237498025936258905232989491196349263191223144531250        0.63229E-05
     12      3    5.0    4.0          12.095823916419806920430346508510410785675048828125000000000000        0.38550E-01
     12     10    5.0    3.0           1.292092493747113435276219206571113318204879760742187500000000        0.41179E-02
     11      1    1.0    0.0           0.404742320526538079672462799862842075526714324951171875000000        0.12899E-02
     11      2    1.0    2.0           0.197091404185310486996129952785850036889314651489257812500000        0.62813E-03
     11      3    1.0    4.0           0.000000000607311322912657962521749303115483481496639228680579        0.19355E-11
     11     10    1.0    3.0           0.000447733487942774527595241051969310319691430777311325073242        0.14269E-05
     17      1    2.0    0.0           9.884360500909904700961305934470146894454956054687500000000000        0.31502E-01
     17      2    2.0    2.0           9.929410656915884203499444993212819099426269531250000000000000        0.31645E-01
     17      3    2.0    4.0           0.000308342591840931863709368565551471874641720205545425415039        0.98269E-06
     17     16    2.0    0.0           0.000000004591215909967428493111581540254625966035462170111714        0.14632E-10
     16      2    0.0    2.0           1.446398100618731197286592760065104812383651733398437500000000        0.46097E-02
      3      2    4.0    2.0         134.887063726576258204659097827970981597900390625000000000000000        0.42989E+00
      3     10    4.0    3.0           0.018545856298714115395487311843680799938738346099853515625000        0.59106E-04
     10      1    3.0    0.0           0.001630196086622063026891349402092146192444488406181335449219        0.51955E-05
     10      2    3.0    2.0          21.660496046896078325971757294610142707824707031250000000000000        0.69032E-01
      2      1    2.0    0.0         313.772723571879964765685144811868667602539062500000000000000000        0.10000E+01


                                                  CALCULATED YIELDS

     EXPERIMENT  6  DETECTOR  1
     ENERGY    650.100 MEV  THETA  71.000 DEG

     NI     NF     II     IF     YIELD     NORMALIZED YIELD

      9      8   16.0   14.0           0.000088622734764971162796549919438149345296551473438739776611        0.46173E-06
      8      7   14.0   12.0           0.001670602269210426284867798685240813938435167074203491210938        0.87039E-05
      8     15   14.0   11.0           0.000000646371028245810556516284545863770816254145756829530001        0.33676E-08
      7      6   12.0   10.0           0.005337302146962156351728268077749817166477441787719726562500        0.27808E-04
      7     15   12.0   11.0           0.006633019294196035135768863000294004450552165508270263671875        0.34558E-04
      7     14   12.0    9.0           0.000003592199840471886231318141349810879603410285199061036110        0.18715E-07
     15      5   11.0    8.0           0.000002048946631367881491945668812060254992957197828218340874        0.10675E-07
     15      6   11.0   10.0           0.004278899272731151968984786293503930210135877132415771484375        0.22293E-04
     15     14   11.0    9.0           0.077295640820664798797956507314665941521525382995605468750000        0.40271E-03
      6      5   10.0    8.0           0.014156409626189326092515763377832627156749367713928222656250        0.73755E-04
      6     14   10.0    9.0           0.036849708452900954702702307486106292344629764556884765625000        0.19199E-03
      6     13   10.0    7.0           0.000009568094935492400446687757953334596550121204927563667297        0.49850E-07
     14      4    9.0    6.0           0.000055152056845914080782360827681642945208295714110136032104        0.28734E-06
     14      5    9.0    8.0           0.009053374021504445243180292379747697850689291954040527343750        0.47168E-04
     14     13    9.0    7.0           0.874993991303205431719902662734966725111007690429687500000000        0.45588E-02
      5      4    8.0    6.0           0.179755968764175183549625103296421002596616744995117187500000        0.93654E-03
      5     13    8.0    7.0           0.199278562717859070163584078727581072598695755004882812500000        0.10382E-02
      5     12    8.0    5.0           0.000021370397254777183197998330355105167654983233660459518433        0.11134E-06
     13      3    7.0    4.0           0.000808584845403972191611730035987193332402966916561126708984        0.42128E-05
     13      4    7.0    6.0           1.365472197754806771285984723363071680068969726562500000000000        0.71142E-02
     13     12    7.0    5.0           2.793039022783709413033648161217570304870605468750000000000000        0.14552E-01
     22      1    2.0    0.0           0.082283212395381069570454712902574101462960243225097656250000        0.42870E-03
     22      2    2.0    2.0           0.803835194952289722181149045354686677455902099609375000000000        0.41880E-02
     22     10    2.0    3.0           0.094194872151391328962688476167386397719383239746093750000000        0.49076E-03
     22     18    2.0    2.0           0.074106216307020258970972292900114553049206733703613281250000        0.38610E-03
     21      2    0.0    2.0           0.428198085578165021924945676801144145429134368896484375000000        0.22309E-02
     21     17    0.0    2.0           0.000008722409027275295390242704218763947210391052067279815674        0.45444E-07
      4      3    6.0    4.0           6.220488681052195545362337725237011909484863281250000000000000        0.32409E-01
      4     12    6.0    5.0           1.831658400100494077378243673592805862426757812500000000000000        0.95430E-02
      4     19    6.0    4.0           0.000016070045063726716969877694740631568492972292006015777588        0.83726E-07
      4     20    6.0    4.0           0.000000000017630792399956317769774530987372687749342725638257        0.91857E-13
      4     10    6.0    3.0           0.000069981499460147116118552412800113415869418531656265258789        0.36461E-06
     23      2    3.0    2.0           0.014401505676590636156886304775071039330214262008666992187500        0.75032E-04
     23      3    3.0    4.0           0.002184854375726600402701782499548244231846183538436889648438        0.11383E-04
     23     10    3.0    3.0           0.000756545607149211292788426597155648778425529599189758300781        0.39416E-05
     23     17    3.0    2.0           0.001038833757641000575533407612738301395438611507415771484375        0.54124E-05
     20      2    4.0    2.0           1.104955700784010730330919614061713218688964843750000000000000        0.57569E-02
     20      3    4.0    4.0           0.993512517819596485679767283727414906024932861328125000000000        0.51762E-02
     20     12    4.0    5.0           0.032383053266468092568075576309638563543558120727539062500000        0.16872E-03
     19      2    4.0    2.0           2.752025567326886523744633450405672192573547363281250000000000        0.14338E-01
     19      3    4.0    4.0          21.510173403414533765953819965943694114685058593750000000000000        0.11207E+00
     19     10    4.0    3.0          16.329782140659375500035821460187435150146484375000000000000000        0.85079E-01
     19     17    4.0    2.0           0.139875252409063566272351408770191483199596405029296875000000        0.72876E-03
     18      1    2.0    0.0           1.545973411035479694319860755058471113443374633789062500000000        0.80546E-02
     18      2    2.0    2.0           3.002224036035756604690050153294578194618225097656250000000000        0.15642E-01
     12      2    5.0    2.0           0.001428226209283246219902685503200245875632390379905700683594        0.74411E-05
     12      3    5.0    4.0           8.707703844138215742987085832282900810241699218750000000000000        0.45367E-01
     12     10    5.0    3.0           0.930168862619658032286906745866872370243072509765625000000000        0.48462E-02
     11      1    1.0    0.0           0.218251847826718997636064045764214824885129928588867187500000        0.11371E-02
     11      2    1.0    2.0           0.106278886522780363632634248460817616432905197143554687500000        0.55372E-03
     11      3    1.0    4.0           0.000000000327484455441535655896904516122883355144779216061579        0.17062E-11
     11     10    1.0    3.0           0.000241434256121989481531572852013312058261362835764884948730        0.12579E-05
     17      1    2.0    0.0           7.522688016819457423878247936954721808433532714843750000000000        0.39193E-01
     17      2    2.0    2.0           7.556974328888998115871800109744071960449218750000000000000000        0.39372E-01
     17      3    2.0    4.0           0.000234670226819762761574089671157139491697307676076889038086        0.12226E-05
     17     16    2.0    0.0           0.000000003494235656961660789819529629712108187433727835013997        0.18205E-10
     16      2    0.0    2.0           1.188882032492102558407509604876395314931869506835937500000000        0.61941E-02
      3      2    4.0    2.0          99.981523176334746949578402563929557800292968750000000000000000        0.52091E+00
      3     10    4.0    3.0           0.013746632998947289419633399631948122987523674964904785156250        0.71620E-04
     10      1    3.0    0.0           0.001381666149771222044245755355973415134940296411514282226562        0.71985E-05
     10      2    3.0    2.0          18.358266481465275177242801873944699764251708984375000000000000        0.95647E-01
      2      1    2.0    0.0         191.937164693239537882618606090545654296875000000000000000000000        0.10000E+01


                                                  CALCULATED YIELDS

     EXPERIMENT  7  DETECTOR  1
     ENERGY    650.100 MEV  THETA 109.500 DEG

     NI     NF     II     IF     YIELD     NORMALIZED YIELD

      9      8   16.0   14.0           0.000030964195479992487293127712000284645910141989588737487793        0.10542E-05
      8      7   14.0   12.0           0.000532582452458123028690706313170721841743215918540954589844        0.18133E-04
      8     15   14.0   11.0           0.000000206060936086081616653957471196889628117787651717662811        0.70157E-08
      7      6   12.0   10.0           0.001467818315678097668489088256649210961768403649330139160156        0.49975E-04
      7     15   12.0   11.0           0.001824155151832400865996586247774757794104516506195068359375        0.62107E-04
      7     14   12.0    9.0           0.000000987895489938048060104690446803221703930830699391663074        0.33635E-07
     15      5   11.0    8.0           0.000000408407038305986778748579062517376492280618549557402730        0.13905E-07
     15      6   11.0   10.0           0.000852893165899159828163833552139294624794274568557739257812        0.29038E-04
     15     14   11.0    9.0           0.015406981938058641329325482161038962658494710922241210937500        0.52456E-03
      6      5   10.0    8.0           0.002482029553170371233977720137886535667348653078079223632812        0.84505E-04
      6     14   10.0    9.0           0.006460823600117333517789397490105329779908061027526855468750        0.21997E-03
      6     13   10.0    7.0           0.000001677564793935998846581818949585951372682757209986448288        0.57116E-07
     14      4    9.0    6.0           0.000010915135412760919374035306628201169587555341422557830811        0.37163E-06
     14      5    9.0    8.0           0.001791751913499376250293870782570593291893601417541503906250        0.61004E-04
     14     13    9.0    7.0           0.173169931397294696306943251329357735812664031982421875000000        0.58959E-02
      5      4    8.0    6.0           0.011574737867885393632905177696557075250893831253051757812500        0.39408E-03
      5     13    8.0    7.0           0.012831824956946161556126106972897105151787400245666503906250        0.43688E-03
      5     12    8.0    5.0           0.000001376069724177753799044697166631401330505468649789690971        0.46851E-07
     13      3    7.0    4.0           0.000133615256621074203957286186117414672480663284659385681152        0.45492E-05
     13      4    7.0    6.0           0.225638557473580886325592587127175647765398025512695312500000        0.76823E-02
     13     12    7.0    5.0           0.461537991842366268624431313583045266568660736083984375000000        0.15714E-01
     22      1    2.0    0.0           0.017856962534257114771918395490502007305622100830078125000000        0.60797E-03
     22      2    2.0    2.0           0.174446944183550917140124170146009419113397598266601562500000        0.59394E-02
     22     10    2.0    3.0           0.020442010635707198729082989530070335604250431060791015625000        0.69599E-03
     22     18    2.0    2.0           0.016082404777676112539452901728509459644556045532226562500000        0.54756E-03
     21      2    0.0    2.0           0.114388125846295249377071456819976447150111198425292968750000        0.38946E-02
     21     17    0.0    2.0           0.000002330089869849958946325472336491557712179201189428567886        0.79332E-07
      4      3    6.0    4.0           0.562934124292449600268639642308698967099189758300781250000000        0.19166E-01
      4     12    6.0    5.0           0.165759166253971884641416068006947170943021774291992187500000        0.56436E-02
      4     19    6.0    4.0           0.000001454287148346519655418146443892624120053369551897048950        0.49514E-07
      4     20    6.0    4.0           0.000000000001595529738762031861659790364280692203042058552320        0.54323E-13
      4     10    6.0    3.0           0.000006333099557799822254815658856275106813882302958518266678        0.21562E-06
     23      2    3.0    2.0           0.000060948766391118054913233342828604577334772329777479171753        0.20751E-05
     23      3    3.0    4.0           0.000009246545599827689501182606535145680481946328654885292053        0.31482E-06
     23     10    3.0    3.0           0.000003201784765416271477650846447038368580706446664407849312        0.10901E-06
     23     17    3.0    2.0           0.000004396459469969657485116047018758322906251123640686273575        0.14969E-06
     20      2    4.0    2.0           0.042712669599367508732612463973055128008127212524414062500000        0.14542E-02
     20      3    4.0    4.0           0.038404772142769508236348485752387205138802528381347656250000        0.13076E-02
     20     12    4.0    5.0           0.001251784713005197995083772610769301536493003368377685546875        0.42619E-04
     19      2    4.0    2.0           0.520869789525276960517885527224279940128326416015625000000000        0.17734E-01
     19      3    4.0    4.0           4.071182922973885176531894103391095995903015136718750000000000        0.13861E+00
     19     10    4.0    3.0           3.090701731692366394099735771305859088897705078125000000000000        0.10523E+00
     19     17    4.0    2.0           0.026473879511545245907244705563243769574910402297973632812500        0.90135E-03
     18      1    2.0    0.0           0.279701220156856722454108421516139060258865356445312500000000        0.95230E-02
     18      2    2.0    2.0           0.543169578512351480803488357196329161524772644042968750000000        0.18493E-01
     12      2    5.0    2.0           0.000202717596678172302070153332209656582563184201717376708984        0.69019E-05
     12      3    5.0    4.0           1.235942026827001827271601541724521666765213012695312500000000        0.42080E-01
     12     10    5.0    3.0           0.132025021743408271790443109239276964217424392700195312500000        0.44950E-02
     11      1    1.0    0.0           0.023833435687780592932005774287063104566186666488647460937500        0.81145E-03
     11      2    1.0    2.0           0.011605817005135670577642414968977391254156827926635742187500        0.39514E-03
     11      3    1.0    4.0           0.000000000035761803555086201287783876188663902302711239400423        0.12176E-11
     11     10    1.0    3.0           0.000026364990140560626763130414040858795488020405173301696777        0.89765E-06
     17      1    2.0    0.0           2.267234862914679460743627714691683650016784667968750000000000        0.77192E-01
     17      2    2.0    2.0           2.277568286535469610498694237321615219116210937500000000000000        0.77544E-01
     17      3    2.0    4.0           0.000070726383753291663077436557394150895561324432492256164551        0.24080E-05
     17     16    2.0    0.0           0.000000001053114642397802504433110284639586728960836126134382        0.35855E-10
     16      2    0.0    2.0           0.177209348973273811411743849930644501000642776489257812500000        0.60334E-02
      3      2    4.0    2.0          17.205075044308379972335387719795107841491699218750000000000000        0.58578E+00
      3     10    4.0    3.0           0.002365555603072023397454026749642252980265766382217407226562        0.80540E-04
     10      1    3.0    0.0           0.000253954214341564220216301839272432516736444085836410522461        0.86463E-05
     10      2    3.0    2.0           3.374302208782890666327602957608178257942199707031250000000000        0.11488E+00
      2      1    2.0    0.0          29.371266136713089167642465326935052871704101562500000000000000        0.10000E+01


                                                  CALCULATED YIELDS

     EXPERIMENT  8  DETECTOR  1
     ENERGY    650.100 MEV  THETA 122.500 DEG

     NI     NF     II     IF     YIELD     NORMALIZED YIELD

      9      8   16.0   14.0           0.000014292049607480679951376258129958074505339027382433414459        0.90067E-06
      8      7   14.0   12.0           0.000259665520329629658565634420241963198350276798009872436523        0.16364E-04
      8     15   14.0   11.0           0.000000100466922898872982125793016684733860444111996912397444        0.63314E-08
      7      6   12.0   10.0           0.000749586816038027518166453333492427191231399774551391601562        0.47238E-04
      7     15   12.0   11.0           0.000931561241344589733431869049695706053171306848526000976562        0.58706E-04
      7     14   12.0    9.0           0.000000504499383180737014663634013716952964045958651695400476        0.31793E-07
     15      5   11.0    8.0           0.000000197516021909105245491294834854489881337258339044637978        0.12447E-07
     15      6   11.0   10.0           0.000412480808216754814624072089657147444086149334907531738281        0.25994E-04
     15     14   11.0    9.0           0.007451207977838052338992458345501290750689804553985595703125        0.46957E-03
      6      5   10.0    8.0           0.001294777897983712556390090142599547107238322496414184570312        0.81596E-04
      6     14   10.0    9.0           0.003370359385736642569147969439313783368561416864395141601562        0.21240E-03
      6     13   10.0    7.0           0.000000875120046354596127738292681008669404718602891080081463        0.55149E-07
     14      4    9.0    6.0           0.000005598810716405270525568727696397175463971507269889116287        0.35283E-06
     14      5    9.0    8.0           0.000919061416564002247632514386310731424600817263126373291016        0.57919E-04
     14     13    9.0    7.0           0.088825802979305243378682632737763924524188041687011718750000        0.55977E-02
      5      4    8.0    6.0           0.004755334265287619079087821916118627996183931827545166015625        0.29968E-03
      5     13    8.0    7.0           0.005271792553785641446961740541610197396948933601379394531250        0.33222E-03
      5     12    8.0    5.0           0.000000565340795229847344008247776031561571130623633507639170        0.35627E-07
     13      3    7.0    4.0           0.000069525000119356248728767766476011047416250221431255340576        0.43814E-05
     13      4    7.0    6.0           0.117408154817013637982725526853755582123994827270507812500000        0.73990E-02
     13     12    7.0    5.0           0.240155426478946609769593578675994649529457092285156250000000        0.15134E-01
     22      1    2.0    0.0           0.009823765639777834804413636504705209517851471900939941406250        0.61909E-03
     22      2    2.0    2.0           0.095969619298185038225312837312230840325355529785156250000000        0.60479E-02
     22     10    2.0    3.0           0.011245894776661009145657388330619141925126314163208007812500        0.70871E-03
     22     18    2.0    2.0           0.008847516768702575265526100167789991246536374092102050781250        0.55756E-03
     21      2    0.0    2.0           0.065400714833340770071323788670270005241036415100097656250000        0.41215E-02
     21     17    0.0    2.0           0.000001332214703114211384456732310821447384796556434594094753        0.83955E-07
      4      3    6.0    4.0           0.256866119815322313524319497446413151919841766357421875000000        0.16188E-01
      4     12    6.0    5.0           0.075635695229875676837139053532155230641365051269531250000000        0.47665E-02
      4     19    6.0    4.0           0.000000663589362898515970513727609686460695570531242992728949        0.41819E-07
      4     20    6.0    4.0           0.000000000000728038175978195956227800351457286897900039734921        0.45880E-13
      4     10    6.0    3.0           0.000002889785215740550421457477972553284928380890050902962685        0.18211E-06
     23      2    3.0    2.0           0.000010174714710945170572406297260226182288533891551196575165        0.64120E-06
     23      3    3.0    4.0           0.000001543607346148065274108124658725138544923538574948906898        0.97277E-07
     23     10    3.0    3.0           0.000000534502147999315158886934635368293200485823035705834627        0.33684E-07
     23     17    3.0    2.0           0.000000733939725016211338380893881155886404599186789710074663        0.46252E-07
     20      2    4.0    2.0           0.015549726765167146483315185889750864589586853981018066406250        0.97993E-03
     20      3    4.0    4.0           0.013981418602489126962185039815267373342067003250122070312500        0.88110E-03
     20     12    4.0    5.0           0.000455717482391506528704994138934125658124685287475585937500        0.28719E-04
     19      2    4.0    2.0           0.274444853339063599140246196839143522083759307861328125000000        0.17295E-01
     19      3    4.0    4.0           2.145095036574100610948789835674688220024108886718750000000000        0.13518E+00
     19     10    4.0    3.0           1.628482205201762900159678792988415807485580444335937500000000        0.10263E+00
     19     17    4.0    2.0           0.013949013987706966252733131739205418853089213371276855468750        0.87906E-03
     18      1    2.0    0.0           0.151913657530498180658895535088959150016307830810546875000000        0.95735E-02
     18      2    2.0    2.0           0.295010787885859049328729497574386186897754669189453125000000        0.18591E-01
     12      2    5.0    2.0           0.000105415735185135757629240615962373794900486245751380920410        0.66432E-05
     12      3    5.0    4.0           0.642705613815142351441522805544082075357437133789062500000000        0.40503E-01
     12     10    5.0    3.0           0.068654694796968701586692418459278997033834457397460937500000        0.43266E-02
     11      1    1.0    0.0           0.014406558015289538596248597457361029228195548057556152343750        0.90789E-03
     11      2    1.0    2.0           0.007015349284494653246679884972536456189118325710296630859375        0.44210E-03
     11      3    1.0    4.0           0.000000000021616879093595489645366085359737197846979883664176        0.13623E-11
     11     10    1.0    3.0           0.000015936802608247601883203342643113842314050998538732528687        0.10043E-05
     17      1    2.0    0.0           1.321864957710186416761644068174064159393310546875000000000000        0.83303E-01
     17      2    2.0    2.0           1.327889649197126820112657696881797164678573608398437500000000        0.83683E-01
     17      3    2.0    4.0           0.000041235572810860370127246377069951677185599692165851593018        0.25986E-05
     17     16    2.0    0.0           0.000000000613996972703368201779830073201889295564370740976301        0.38694E-10
     16      2    0.0    2.0           0.089456142804109378685595288516196887940168380737304687500000        0.56375E-02
      3      2    4.0    2.0           9.146830676094864998049160931259393692016601562500000000000000        0.57643E+00
      3     10    4.0    3.0           0.001257613611127208390685905392558652238221839070320129394531        0.79254E-04
     10      1    3.0    0.0           0.000133836579364247411100957707574821142770815640687942504883        0.84343E-05
     10      2    3.0    2.0           1.778293250756316501437481747416313737630844116210937500000000        0.11207E+00
      2      1    2.0    0.0          15.868155059965346254102769307792186737060546875000000000000000        0.10000E+01


                                                  CALCULATED YIELDS

     EXPERIMENT  9  DETECTOR  1
     ENERGY    650.100 MEV  THETA 135.500 DEG

     NI     NF     II     IF     YIELD     NORMALIZED YIELD

      9      8   16.0   14.0           0.000006808092795824305676094957001653895645176817197352647781        0.77775E-06
      8      7   14.0   12.0           0.000130330791963027906857006121832398548576747998595237731934        0.14889E-04
      8     15   14.0   11.0           0.000000050426154426959047617918380484319795797887309163343161        0.57607E-08
      7      6   12.0   10.0           0.000393052795079384834162766759746432398969773203134536743164        0.44902E-04
      7     15   12.0   11.0           0.000488472771751013675779751199712563902721740305423736572266        0.55803E-04
      7     14   12.0    9.0           0.000000264538927889781042945404471167236692963342647999525070        0.30221E-07
     15      5   11.0    8.0           0.000000100043632689424965127236580916120223250231902056839317        0.11429E-07
     15      6   11.0   10.0           0.000208925220697611874545729371277502650627866387367248535156        0.23868E-04
     15     14   11.0    9.0           0.003774103522449379771730448851485562045127153396606445312500        0.43115E-03
      6      5   10.0    8.0           0.000698339118060430866924415127527936419937759637832641601562        0.79778E-04
      6     14   10.0    9.0           0.001817805049535707595520506174580077640712261199951171875000        0.20767E-03
      6     13   10.0    7.0           0.000000471996442262377510053016462301944677903975389199331403        0.53921E-07
     14      4    9.0    6.0           0.000002972545221223814004672539659801522304860554868355393410        0.33958E-06
     14      5    9.0    8.0           0.000487952131300586227670434968928248053998686373233795166016        0.55743E-04
     14     13    9.0    7.0           0.047159786165628471421573664201787323690950870513916015625000        0.53875E-02
      5      4    8.0    6.0           0.002190500773200790458894449130866632913239300251007080078125        0.25024E-03
      5     13    8.0    7.0           0.002428402509896569923253384359895790112204849720001220703125        0.27742E-03
      5     12    8.0    5.0           0.000000260419011574579357906920667672934222025560302427038550        0.29750E-07
